n,group,rho1_reported,rho2_reported,deff_reported,Ffull_over_FQ_reported,rho1_observed,rho2_observed,deff_observed,Ffull_over_FQ_observed,circuits,abs_error_rho1,abs_error_rho2,abs_error_deff,abs_error_Ffull_over_FQ,core_means_match,deff_relative_error,deff_matches
6,generic,0.958,0.993,46.1,0.4885,0.9584423947928692,0.993349759116087,46.13012813894574,0.4885443219748355,18,0.00044239479286922734,0.0003497591160870339,0.03012813894574151,4.432197483550393e-05,True,0.0006535388057644579,True
6,U1,2.077,1.186,9.52,0.4744,2.076641288411444,1.1863435622475895,9.524004331681803,0.4744458092702486,12,0.00035871158855593777,0.00034356224758957943,0.004004331681803919,4.5809270248609035e-05,True,0.0004206230758197394,True
8,generic,0.931,0.973,136.1,0.4897,0.9312581004324868,0.9729362516208672,136.07017746171744,0.4896525341582313,18,0.00025810043248675196,6.374837913281084e-05,0.029822538282559208,4.7465841768734585e-05,True,0.00021912225042291852,True
8,U1,4.224,1.895,16.97,0.4785,4.224421578507845,1.895218674176196,16.96945416081992,0.4785138888990516,12,0.0004215785078445222,0.00021867417619603202,0.0005458391800772233,1.3888899051628378e-05,True,3.216494873760892e-05,True
10,generic,0.926,0.964,351.6,0.4919,0.9260892518312844,0.9643611002741496,351.5750356867395,0.4918924407962092,18,8.925183128438707e-05,0.000361100274149595,0.024964313260511517,7.559203790807878e-06,True,7.100202861351398e-05,True
10,U1,9.824,3.607,27.49,0.47,9.824011054652209,3.6073510681485135,27.48621439899769,0.4699516037438211,12,1.10546522087418e-05,0.0003510681485132672,0.0037856010023098463,4.839625617886201e-05,True,0.00013770829400908864,True
